loan_index,actual,llm_binary,llm_prob,score_5a,has_desc
0,1,1,1.0,2.0,True
1,1,1,1.0,6.0,True
2,1,1,1.0,5.0,True
3,1,1,1.0,3.0,True
4,1,1,1.0,5.0,True
5,1,1,1.0,3.0,True
6,1,1,1.0,2.0,True
7,1,1,0.8807970779778824,9.0,True
8,1,1,1.0,3.0,True
9,1,1,1.0,6.0,True
10,1,1,1.0,6.0,True
11,1,1,1.0,3.0,True
12,1,0,0.0,3.0,True
13,1,1,1.0,3.0,True
14,0,1,1.0,2.0,True
15,1,1,1.0,9.0,True
16,1,1,1.0,4.0,True
17,1,1,1.0,5.0,True
18,1,1,1.0,5.0,True
19,1,1,1.0,5.0,True
20,1,1,1.0,5.0,True
21,0,1,1.0,3.0,True
22,1,1,1.0,5.0,True
23,1,0,0.0,5.0,True
24,1,1,1.0,5.0,True
25,1,1,1.0,5.0,True
26,1,1,1.0,4.0,True
27,0,1,1.0,3.0,True
28,1,1,1.0,4.0,True
29,1,1,0.2227001388253088,4.0,True
30,1,1,1.0,7.0,True
31,1,1,1.0,6.0,True
32,0,0,0.0,5.0,True
33,1,1,1.0,2.0,True
34,0,1,1.0,6.0,True
35,1,1,1.0,6.0,True
36,1,1,1.0,6.0,True
37,1,1,1.0,3.0,True
38,1,1,1.0,4.0,True
39,1,1,1.0,5.0,True
40,1,1,1.0,8.0,True
41,1,1,1.0,3.0,True
42,1,1,1.0,3.0,True
43,0,0,0.0,6.0,True
44,1,1,1.0,5.0,True
45,1,1,1.0,2.0,True
46,1,1,1.0,3.0,True
47,1,1,1.0,3.0,True
48,1,1,1.0,5.0,True
49,1,1,1.0,5.0,True
50,1,1,1.0,7.0,True
51,1,1,1.0,8.0,True
52,1,0,0.0,5.0,True
53,1,1,1.0,7.0,True
54,1,1,1.0,7.0,True
55,1,0,0.0,5.0,True
56,1,1,1.0,5.0,True
57,1,1,1.0,3.0,True
58,1,1,1.0,2.0,True
59,0,0,0.0,6.0,True
60,1,0,0.0,5.0,True
61,0,1,1.0,5.0,True
62,1,1,1.0,5.0,True
63,1,0,0.0,5.0,True
64,1,1,1.0,5.0,True
65,1,1,1.0,5.0,True
66,1,1,1.0,6.0,True
67,1,1,1.0,3.0,True
68,1,1,1.0,8.0,True
69,0,0,0.0,5.0,True
70,1,1,1.0,3.0,True
71,1,1,0.1824255238063563,5.0,True
72,1,1,1.0,3.0,True
73,1,1,1.0,6.0,True
74,0,0,0.0,8.0,True
75,1,1,1.0,3.0,True
76,1,1,1.0,5.0,True
77,1,1,1.0,5.0,True
78,0,1,1.0,5.0,True
79,1,1,1.0,8.0,True
80,1,0,0.0,6.0,True
81,1,1,1.0,2.0,True
82,1,1,1.0,4.0,True
83,1,1,1.0,4.0,True
84,1,1,1.0,2.0,True
85,1,0,0.0,5.0,True
86,1,1,1.0,5.0,True
87,1,1,1.0,4.0,True
88,1,1,1.0,4.0,True
89,0,1,1.0,4.0,True
90,0,1,1.0,5.0,True
91,1,1,1.0,3.0,True
92,0,1,1.0,8.0,True
93,1,1,1.0,5.0,True
94,1,1,1.0,2.0,True
95,1,0,0.0,5.0,True
96,1,1,1.0,2.0,True
97,1,1,1.0,2.0,True
98,0,0,0.0,5.0,True
99,1,0,0.0,3.0,True
